"","id","rating","rating_sd","rating_se","dataset","chord_size","name","chord_nro","genre","register","pitchlow","pitchhigh","pitchrange","gill_09_harmonicity","har_18_harmonicity","milne_13_harmonicity","parn_88_root_ambig","parn_94_complex","stolz_15_periodicity","bowl_18_min_freq_dist","hutch_78_roughness","seth_93_roughness","vass_01_roughness","wang_13_roughness","jl_12_tonal","har_19_corpus","har_19_composite","sharpness","sproll","spflux","keyclar","spcentr","spirreg","Forte","neg_log_prob","CorpPop","CorpJazz","CorpClas","TDL","TDL1","register_N","midi","pc"
"39","te135c",7.50454545454545,0.607,0.111,"bowl18",4,"te135c",NA,NA,60,53,65,12,0.377777777777778,0.934734306954438,0.70414111353318,2.04939015319192,0.245253894148429,-2.93016794670639,33.0382330734706,0.261110469108938,1.28679092224333,2.72006389645403,0.889655720028776,3,3.61954522428821,1.13792927790157,0.743816,1021.82,7.67649,0.691696,0.660194,0.792438,"3-7A",8.97748579111647,7.54358923495796,12.051101629319,8.97748579111647,1,1,6.14285714285714,"53-56-63-65","0-3-10-12"
"40","te124c",7.4006993006993,0.868,0.159,"bowl18",4,"minor 7th chord",NA,NA,59,54,64,10,0.0638095238095238,0.83411290484838,0.588306983990921,2.16024689946929,0.154362346929905,-3.68016794670639,35.0027886441828,0.264714428574696,1.8029890869785,4.26925627557243,1.06978508759279,1,8.39084535786945,1.44776895260425,0.792161,1114.68,4.81842,0.902921,0.783828,0.499286,"4-26",3.82007212224573,2.34742117126595,2.54958529563679,3.82007212224573,1,1,4.85714285714286,"54-57-61-64","0-3-7-10"
"41","te194c",7.4006993006993,0.64,0.117,"bowl18",4,"te194c",NA,NA,60,53,65,12,0.0136805555555556,0.802289788464618,0.631533057415607,2.04939015319192,0.263678589375704,-3.52376682540176,30.24098034881,0.299248099718026,1.43821748541296,3.21352717356382,1.0560590407507,3,1,0.568761957887111,0.746071,990.864,7.05838,0.389318,0.635133,0.943897,"3-8A",8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,6.14285714285714,"53-59-61-65","0-6-8-12"
"42","tr35c",7.29475524370629,0.808716878,0.147650826,"bowl18",3,"minor triad (1)",NA,NA,59,55,64,9,0.166666666666667,0.928588602237831,0.702134069832943,2.04939015319192,0.253094649752482,-3.58496250072116,50.9439326371874,0.138755564520662,0.875932087750222,2.04753472656119,0.855977169175062,3,5.90185056611313,1.56187817205301,0.764578,991.2,5.47626,0.703607,0.692033,0.845377,"3-11A",3.29198082096815,2.14376085786175,5.46355161449422,3.29198082096815,1,1,4.85714285714286,"55-59-64","0-4-9"
"43","tr63c",7.29475524370629,0.889917987,0.162476052,"bowl18",3,"tr63c",NA,NA,61,52,64,12,0.0210416666666667,1.00354157407174,0.712561151403412,2.04939015319192,0.486169419455901,-1.58496250072116,52.4449259359978,0.108921963110493,0.557525425010248,1.28738869958079,0.729654735786782,3,1,1.23530506038157,0.774509,1159.09,5.86161,0.613164,0.788452,0.483821,"2-3",2.33315009581831,7.30058898374176,3.39080942738383,2.33315009581831,1,1,7.42857142857143,"52-61-64","0-9-12"
"44","te207c",7.29370629370629,0.964,0.176,"bowl18",4,"power chord + M6",NA,NA,61,53,65,12,0.115740740740741,0.934734306954438,0.70414111353318,2.04939015319192,0.375771221076828,-2.93872187554087,32.039202616809,0.236102904523013,1.30439997573773,3.08838940963926,0.832909193873895,3,1.59639251268661,0.968643942650915,0.76714,883.198,9.70042,0.635006,0.652744,0.985099,"3-7A",8.97748579111647,7.54358923495796,12.051101629319,8.97748579111647,1,1,7.42857142857143,"53-60-62-65","0-7-9-12"
"45","te117c",7.18986013986014,0.83,0.152,"bowl18",4,"te117c",NA,NA,60,55,63,8,0.0583333333333333,0.728916578223825,0.644295763132923,2.04939015319192,0.0579101098197798,-4.50048947430389,33.9443527452088,0.387384915194237,2.11838453647169,5.11614250696949,1.31929627731233,1,5.47759251020318,0.759700207108858,0.799077,1112.32,4.59108,0.471524,0.731844,0.469025,"4-27B",3.09212901186637,2.41821647391762,2.60505692398376,3.09212901186637,1,1,6.14285714285714,"55-58-61-63","0-3-6-8"
"46","te140c",7.18986013986014,0.695,0.127,"bowl18",4,"te140c",NA,NA,60,55,64,9,0.2,0.815233587107258,0.593204732098434,2.16024689946929,0.132278147584454,-3.58496250072116,14.6839146725366,0.41139654263134,2.0282930119185,5.07056704869979,1.07795852689522,1,3.2069145415475,0.638972970378659,0.778445,991.537,6.41472,0.689308,0.695941,0.848256,"4-20",3.50094154161012,3.54780574500476,3.45232845091035,3.50094154161012,1,1,6.14285714285714,"55-59-60-64","0-4-5-9"
"47","te151c",7.08601398601399,0.765,0.14,"bowl18",4,"major triad (r) + M6",NA,NA,60,55,64,9,0.188888888888889,0.83411290484838,0.588306983990921,2.16024689946929,0.123835079375222,-3.68872187554087,35.9627889954623,0.293520741377794,1.84600378013438,4.44715867402761,0.95333530789513,1,6.79247838232887,1.2353542159676,0.760499,983.125,6.92626,0.85067,0.671516,0.679937,"4-26",3.82007212224573,2.34742117126595,2.54958529563679,3.82007212224573,1,1,6.14285714285714,"55-59-62-64","0-4-7-9"
"48","dy5c",7.03251748251748,0.598,0.109,"bowl18",2,"perfect 4th",NA,NA,60,57,62,5,0.0851851851851852,1.2521137715718,0.80404805919527,1.67332005306815,0.428709048580747,-1.58496250072116,73.6647679174076,0.05603991807956,0.292219660133102,0.775746199049853,0.652179112966366,3,4.52282532447988,2.12872564974293,0.788084,1103.58,1.56724,0.821755,0.817845,0.410095,"2-5",1.85694148254459,5.71986443207317,1.48686327573291,1.85694148254459,1,1,6.14285714285714,"57-62","0-5"
"49","tr16c",6.98006992902098,0.691491807,0.126248554,"bowl18",3,"suspended 2nd",NA,NA,59,57,64,7,0.25,1.05597977834256,0.763252924065916,1.98431348329844,0.326540159832597,-3.58496250072116,26.9416506280621,0.238377861752135,0.906571669647222,2.29144544475036,0.813905150990291,4,5.50091134991306,1.58565880845179,0.799608,1103.91,3.90209,0.628149,0.772246,0.904548,"3-9",8.97748579111647,4.09193223965683,9.97166008763918,8.97748579111647,1,1,4.85714285714286,"57-59-64","0-2-7"
"50","te110c",6.97902097902098,0.64,0.117,"bowl18",4,"minor triad (r) + P4",NA,NA,60,56,63,7,0.0138541666666667,0.851740027175046,0.675052507383902,2.16024689946929,0.151411317900434,-4.61440934524794,30.24098034881,0.401724673158986,2.09132258832609,5.23146421272216,1.08301844759645,3,4.60483139651237,0.86458201639912,0.75589,1046.38,8.06601,0.669591,0.710466,0.516051,"4-22B",8.97748579111647,5.52518358386449,9.85387705198279,8.97748579111647,1,1,6.14285714285714,"56-59-61-63","0-3-5-7"
"51","te112c",6.97902097902098,0.828,0.151,"bowl18",4,"te112c",NA,NA,59,55,64,9,0.164444444444444,0.728916578223825,0.644295763132923,2.04939015319192,0.161048081466152,-4.26064997042823,28.5436845415537,0.361534725536905,2.03726327809328,4.88126956616042,1.16483524605599,1,5.49629786690013,0.803517496492575,0.826301,1122.75,5.09291,0.716256,0.762542,0.77002,"4-27B",3.09212901186637,2.41821647391762,2.60505692398376,3.09212901186637,1,1,4.85714285714286,"55-58-60-64","0-3-5-9"
"52","te111c",6.87517482517482,0.607,0.111,"bowl18",4,"te111c",NA,NA,60,56,64,8,0.0142708333333333,0.83411290484838,0.588306983990921,2.16024689946929,0.0779830288451042,-4.01064997042823,30.24098034881,0.355947907439508,2.02349523670426,4.99621687770289,1.19747898437797,1,5.50091134991306,1.0002880376707,0.763716,1044.02,7.28412,0.708116,0.712119,0.719064,"4-26",3.82007212224573,2.34742117126595,2.54958529563679,3.82007212224573,1,1,6.14285714285714,"56-59-61-64","0-3-5-8"
"53","te89c",6.77132867132867,0.819,0.15,"bowl18",4,"suspended 2nd + M7",NA,NA,58,54,65,11,0.116666666666667,0.801958787793059,0.706575278810354,2.16024689946929,0.16011162290244,-3.43872187554087,22.6551374341554,0.390701266184112,1.80877045506344,4.01748216426349,0.980902798812232,1,6.04758256715958,0.943444337598195,0.755419,1042.34,10.4488,0.71745,0.69331,0.48015,"4-14B",8.97748579111647,5.17976051672319,12.051101629319,8.97748579111647,1,1,3.57142857142857,"54-56-61-65","0-2-7-11"
